Close,KMO10,KMO20,KMO40,larger_than_KMO10?,shares10,larger_than_KMO20?,shares20,larger_than_KMO40?,shares40
17.36,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.38,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.43,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.5,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.47,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.45,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.59,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.76,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.82,,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.64,17.54,,,1.0,1000.0,0.0,1000.0,0.0,1000.0
17.76,17.580000000000002,,,1.0,1000.0,0.0,1000.0,0.0,1000.0
17.91,17.633,,,1.0,1000.0,0.0,1000.0,0.0,1000.0
17.65,17.655,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.71,17.676000000000002,,,1.0,1000.0,0.0,1000.0,0.0,1000.0
17.71,17.7,,,1.0,1000.0,0.0,1000.0,0.0,1000.0
17.66,17.721,,,0.0,1000.0,0.0,1000.0,0.0,1000.0
17.76,17.738,,,1.0,400.0,0.0,1000.0,0.0,1000.0
17.95,17.756999999999998,,,1.0,400.0,0.0,1000.0,0.0,1000.0
17.88,17.762999999999998,,,1.0,400.0,0.0,1000.0,0.0,1000.0
18.29,17.828,17.684,,1.0,400.0,1.0,1000.0,0.0,1000.0
18.48,17.9,17.740000000000002,,1.0,400.0,1.0,1000.0,0.0,1000.0
18.41,17.95,17.7915,,1.0,400.0,1.0,1000.0,0.0,1000.0
18.12,17.997,17.826,,1.0,400.0,1.0,1000.0,0.0,1000.0
18.19,18.044999999999998,17.8605,,1.0,400.0,1.0,1000.0,0.0,1000.0
18.15,18.089000000000002,17.8945,,1.0,400.0,1.0,1000.0,0.0,1000.0
17.83,18.106,17.913500000000003,,0.0,400.0,0.0,1000.0,0.0,1000.0
17.98,18.128,17.933,,0.0,400.0,1.0,1000.0,0.0,1000.0
18.21,18.154000000000003,17.9555,,1.0,400.0,1.0,1000.0,0.0,1000.0
18.25,18.191000000000003,17.977,,1.0,400.0,1.0,1000.0,0.0,1000.0
18.26,18.188,18.008000000000003,,1.0,400.0,1.0,1000.0,0.0,1000.0
17.9,18.130000000000003,18.014999999999997,,0.0,400.0,0.0,1000.0,0.0,1000.0
19.02,18.191,18.070500000000003,,1.0,160.0,1.0,400.0,0.0,1000.0
20.49,18.428,18.2125,,1.0,160.0,1.0,400.0,0.0,1000.0
19.99,18.608,18.3265,,1.0,160.0,1.0,400.0,0.0,1000.0
20.12,18.805,18.447,,1.0,160.0,1.0,400.0,0.0,1000.0
20.21,19.043,18.5745,,1.0,160.0,1.0,400.0,0.0,1000.0
20.13,19.258,18.693,,1.0,160.0,1.0,400.0,0.0,1000.0
20.14,19.451,18.802500000000002,,1.0,160.0,1.0,400.0,0.0,1000.0
19.94,19.619999999999997,18.9055,,1.0,160.0,1.0,400.0,0.0,1000.0
20.02,19.796,18.991999999999997,18.338,1.0,160.0,1.0,400.0,1.0,400.0
20.16,20.022,19.076,18.407999999999998,1.0,160.0,1.0,400.0,1.0,400.0
20.41,20.161,19.176,18.48375,1.0,160.0,1.0,400.0,1.0,400.0
20.79,20.191,19.3095,18.56775,1.0,160.0,1.0,400.0,1.0,400.0
21.32,20.323999999999998,19.466,18.66325,1.0,160.0,1.0,400.0,1.0,400.0
21.525,20.4645,19.63475,18.764625000000002,1.0,160.0,1.0,400.0,1.0,400.0
21.89,20.6325,19.83775,18.875625,1.0,160.0,1.0,400.0,1.0,400.0
22.32,20.8515,20.054750000000002,18.993875,1.0,160.0,1.0,400.0,1.0,400.0
23.83,21.220499999999998,20.335749999999997,19.145625,1.0,160.0,1.0,400.0,1.0,400.0
23.58,21.5845,20.602249999999998,19.289625,1.0,160.0,1.0,400.0,1.0,400.0
23.12,21.8945,20.84525,19.426625,1.0,160.0,1.0,400.0,1.0,400.0
23.19,22.197499999999998,21.10975,19.562375,1.0,160.0,1.0,400.0,1.0,400.0
23.36,22.4925,21.326749999999997,19.698625,1.0,160.0,1.0,400.0,1.0,400.0
22.98,22.7115,21.451249999999998,19.831875,1.0,160.0,1.0,400.0,1.0,400.0
23.05,22.8845,21.60425,19.965375,1.0,160.0,1.0,400.0,1.0,400.0
23.07,23.039,21.75175,20.099375000000002,1.0,160.0,1.0,400.0,1.0,400.0
23.36,23.186,21.90925,20.241875,1.0,160.0,1.0,400.0,1.0,400.0
23.43,23.297,22.07425,20.383625,1.0,160.0,1.0,400.0,1.0,400.0
24.39,23.353,22.28675,20.544625,1.0,160.0,1.0,400.0,1.0,400.0
24.54,23.449,22.51675,20.711125000000003,1.0,160.0,1.0,400.0,1.0,400.0
24.48,23.585,22.73975,20.865875,1.0,160.0,1.0,400.0,1.0,400.0
24.8,23.746000000000002,22.97175,21.023875,1.0,160.0,1.0,400.0,1.0,400.0
24.57,23.867,23.179750000000002,21.177874999999997,1.0,160.0,1.0,400.0,1.0,400.0
24.18,23.987000000000002,23.34925,21.329375,1.0,160.0,1.0,400.0,1.0,400.0
24.24,24.106,23.495250000000002,21.480625,1.0,160.0,1.0,400.0,1.0,400.0
24.37,24.235999999999997,23.6375,21.636125,1.0,160.0,1.0,400.0,1.0,400.0
24.93,24.393,23.789499999999997,21.813625,1.0,160.0,1.0,400.0,1.0,400.0
25.11,24.561,23.929,21.991875,1.0,160.0,1.0,400.0,1.0,400.0
24.87,24.609,23.981,22.158375,1.0,160.0,1.0,400.0,1.0,400.0
24.75,24.63,24.0395,22.320875,1.0,160.0,1.0,400.0,1.0,400.0
24.32,24.613999999999997,24.0995,22.472375000000003,0.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.2,24.554,24.15,22.629875,0.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.46,24.543,24.205000000000002,22.765875,0.0,1288.4985932304544,1.0,400.0,1.0,400.0
23.93,24.517999999999997,24.2525,22.851875,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.26,24.520000000000003,24.313,22.958624999999998,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.11,24.494,24.365000000000002,23.058374999999998,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
23.91,24.392,24.3925,23.150875000000003,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
23.72,24.253,24.407000000000004,23.240625,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
23.82,24.148000000000003,24.3785,23.332625,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.02,24.075,24.3525,23.434625,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.92,24.135,24.3745,23.557125,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.76,24.191,24.3725,23.672125,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
25.14,24.259,24.401,23.790375,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
